WKT,nome,descrição
"POINT (-38.39423219999999 -12.9082263)",Centro Educacional Titânia,
"POINT (-38.41135149999999 -12.89519)",Educandário Novo Ensino - ENE,
"POINT (-38.4214524 -12.8942762)",Escola Municipal Elysio Athayde,
"POINT (-38.42404880000001 -12.8982319)",Colégio Estadual Edvaldo Brandao Correia,
"POINT (-38.41159349999999 -12.8861447)",Escola Municipal De Cajazeiras Xi,
"POINT (-38.40488699999999 -12.8808827)",ESCOLA RECANTO FLORESTAL,
"POINT (-38.4160113 -12.8852134)",Escola Municipal Professor Manoel De Almeida Cruz,
"POINT (-38.4065782 -12.89481)",Colégio Evolução,
"POINT (-38.3623829 -12.9154229)",Escola Santos Nobre,
"POINT (-38.3664196 -12.9148502)",Escola Municipal Pe Manuel Correia De Souza,
"POINT (-38.36686389999999 -12.917938)",Colégio Yeshua,
"POINT (-38.3639524 -12.917929)",Colégio Fischer,
"POINT (-38.3633259 -12.9191591)",Escola Projeção,
"POINT (-38.36450989999999 -12.9170001)",Escola Municipal Celia Nogueira,
"POINT (-38.3638283 -12.9165537)",Colégio Estadual Raul Sá,
"POINT (-38.3627322 -12.916064)",Escola Líderes do Amanhã,
"POINT (-38.3614809 -12.9162445)",Colégio Estadual Pinto de Aguiar,
"POINT (-38.3638883 -12.9123893)",Escola Ana Maria Poppovic,
"POINT (-38.4216588 -12.9157471)",Escola Maria Yasmim,
"POINT (-38.4173664 -12.917656)",Colégio Evo,
"POINT (-38.4215945 -12.9192494)",Escola Municipal Profª Irene Da Silva Costa Santos,
"POINT (-38.4196807 -12.9094661)",CMEI Antonio Noberto B C Filho,
"POINT (-38.419136 -12.909593)",Escola Tecendo O Saber,
"POINT (-38.42002009999999 -12.9109316)",Empresarial Arena jardim,
"POINT (-38.4209313 -12.9136898)",Educandário Costa Figueiredo,
"POINT (-38.419398 -12.9145607)",ESCOLA DE EDUCACAO CORDEIRINHO DE CRISTO,
"POINT (-38.41895 -12.912774)",Escola Espaço Infantil,
"POINT (-38.4179387 -12.9121353)",Jardim Nova Esperanca,
"POINT (-38.4359724 -12.9284005)",Escola Municipal São Marcos,
"POINT (-38.42436129999999 -12.9358218)",Colégio São Rafael,
"POINT (-38.4420013 -12.9208059)",Escola Municipal De Sao Marcos,
"POINT (-38.4417259 -12.9232618)",Escola Marissol,
"POINT (-38.4346068 -12.9249321)",Creche E Pre Escola Primeiro Passo Sao Marcos,
"POINT (-38.42436129999999 -12.9358218)",Colégio São Rafael,
"POINT (-38.4384822 -12.9427156)",Escola Municipal Novo Horizonte,
"POINT (-38.4398069 -12.938225)",Colégio SuperAção - A Confiança que você procura e o Carinho que seu filho merece,
"POINT (-38.4376621 -12.9431518)",ESCOLA WALDEMAR DOCÍLIO NOVO HORIZONTE,
"POINT (-38.4645744 -12.9333548)",Escola Municipal São Miguel,
"POINT (-38.4697019 -12.9435261)",Escola tempo do saber,
"POINT (-38.4595577 -12.9365542)",Centro Educacional Jardim Pampulha,
"POINT (-38.4557611 -12.9277802)",GEOP - Grupo Especializado em Operações Penitenciárias,
"POINT (-38.46164559999999 -12.9308428)",Centro Educacional Donald Viana,
