WKT,nome,descrição,Tipo,cor,longitude,latitude
POINT (-38.4319418 -12.9610877),Universidade Salvador - Campus Prof. Barros,,Centro de formação e educação,#EC2505,-38.4319418,-12.9610877
POINT (-38.4503646 -12.9851962),UNIFACS Universidade Salvador - Campus Costa Azul,,Centro de formação e educação,#EC2505,-38.4503646,-12.9851962
POINT (-38.4512179 -12.9815797),UNIFACS Campus Tancredo Neves,,Centro de formação e educação,#EC2505,-38.4512179,-12.9815797
POINT (-38.4594595 -12.952777),Universidade do Estado da Bahia,,Centro de formação e educação,#EC2505,-38.4594595,-12.952777
POINT (-38.4462826 -12.9813438),Estácio - Campus Gilberto Gil,,Centro de formação e educação,#EC2505,-38.4462826,-12.9813438
POINT (-38.39207629999999 -12.934439),UNIFTC - SALVADOR,,Centro de formação e educação,#EC2505,-38.39207629999999,-12.934439
POINT (-38.4995256 -12.9518961),Faculdade São Salvador,,Centro de formação e educação,#EC2505,-38.4995256,-12.9518961
POINT (-38.4219937 -12.9695405),UNICEUSA - Centro Universitário de Salvador,,Centro de formação e educação,#EC2505,-38.4219937,-12.9695405
POINT (-38.3945855 -12.9366876),Faculdade Unime Anhanguera de Salvador,,Centro de formação e educação,#EC2505,-38.3945855,-12.9366876
POINT (-38.4107435 -12.9376671),Centro Universitário Jorge Amado Campus Paralela,,Centro de formação e educação,#EC2505,-38.4107435,-12.9376671
POINT (-38.4730803 -12.990897),Universo Universidade Salgado de Oliveira - Salvador,,Centro de formação e educação,#EC2505,-38.4730803,-12.990897
POINT (-38.4710535 -12.9799349),Faculdade Anhanguera - Iguatemi,,Centro de formação e educação,#EC2505,-38.4710535,-12.9799349
POINT (-38.4462826 -12.9813438),Estácio - Campus Gilberto Gil,,Centro de formação e educação,#EC2505,-38.4462826,-12.9813438
POINT (-38.4521471 -12.9951914),UNINASSAU - Salvador,,Centro de formação e educação,#EC2505,-38.4521471,-12.9951914
POINT (-38.4313397 -12.9611363),Centro Universitário UniRuy - Wyden,,Centro de formação e educação,#EC2505,-38.4313397,-12.9611363
POINT (-38.4219937 -12.9695405),UNICEUSA - Centro Universitário de Salvador,,Centro de formação e educação,#EC2505,-38.4219937,-12.9695405
POINT (-38.4313397 -12.9611363),Centro Universitário UniRuy - Wyden,,Centro de formação e educação,#EC2505,-38.4313397,-12.9611363
POINT (-38.4015758 -12.9594914),Centro Universitário UNIRB,,Centro de formação e educação,#EC2505,-38.4015758,-12.9594914
POINT (-38.4107435 -12.9376671),Centro Universitário Jorge Amado Campus Paralela,,Centro de formação e educação,#EC2505,-38.4107435,-12.9376671
POINT (-38.5124825 -12.9716687),Centro Universitário Dom Pedro II - Campus I,,Centro de formação e educação,#EC2505,-38.5124825,-12.9716687
POINT (-38.5124237 -12.9702261),Centro Universitário UnidomPedro - Campus II,,Centro de formação e educação,#EC2505,-38.5124237,-12.9702261
POINT (-38.5184887 -12.9855041),UNINASSAU - Centro Universitário Maurício de Nassau,,Centro de formação e educação,#EC2505,-38.5184887,-12.9855041
POINT (-38.4463976 -12.9814679),Centro Universitário Estácio da Bahia - Estácio Bahia,,Centro de formação e educação,#EC2505,-38.4463976,-12.9814679
POINT (-38.3217469 -12.7036855),Centro Universitário Internacional,,Centro de formação e educação,#EC2505,-38.3217469,-12.7036855
POINT (-38.38713800000001 -12.938416),SENAI CIMATEC,,Centro de formação e educação,#EC2505,-38.38713800000001,-12.938416
POINT (-38.38982499999999 -12.8978388),Hospital Municipal de Salvador (HMS),,Hospital,#F12F71,-38.38982499999999,-12.8978388
POINT (-38.4506214 -12.9876887),Hospital da Bahia (HBA),,Hospital,#F12F71,-38.4506214,-12.9876887
POINT (-38.5160595 -12.9979088),Hospital Santo Amaro (HSA),,Hospital,#F12F71,-38.5160595,-12.9979088
POINT (-38.4302432 -12.9290754),Hospital São Rafael (HSR),,Hospital,#F12F71,-38.4302432,-12.9290754
POINT (-38.4805858 -13.0014961),Hospital Aliança (HA),,Hospital,#F12F71,-38.4805858,-13.0014961
POINT (-38.5114315 -12.9251253),Hospital da Sagrada Família (HSF),,Hospital,#F12F71,-38.5114315,-12.9251253
POINT (-38.4887888 -12.9899647),Hospital de Brotas,,Hospital,#F12F71,-38.4887888,-12.9899647
POINT (-38.4858162 -12.9587554),Hospital Especializado Octávio Mangabeira (HEOM),,Hospital,#F12F71,-38.4858162,-12.9587554
POINT (-38.4505951 -12.9554436),Hospital Geral Roberto Santos (HGRS),,Hospital,#F12F71,-38.4505951,-12.9554436
POINT (-38.50318350000001 -12.9717523),Hospital Santa Izabel,,Hospital,#F12F71,-38.50318350000001,-12.9717523
POINT (-38.38692079999999 -12.9392813),Instituto SESI de Saúde e Segurança no Trabalho,,Hospital,#F12F71,-38.38692079999999,-12.9392813
POINT (-38.4502824 -12.9840209),SESI Bahia,,Hospital,#F12F71,-38.4502824,-12.9840209
POINT (-38.3867864 -12.9402231),Escola SESI Djalma Pessoa,,Hospital,#F12F71,-38.3867864,-12.9402231
POINT (-38.502586 -12.9244832),Escola SESI Comendador Bernardo Martins Catharino,,Hospital,#F12F71,-38.502586,-12.9244832
POINT (-38.47542929999999 -12.9507183),Escola SESI Reitor Miguel Calmon (SESI Retiro),,Hospital,#F12F71,-38.47542929999999,-12.9507183
POINT (-38.5024178 -12.9237487),Centro Cultural SESI Casa Branca,,Hospital,#F12F71,-38.5024178,-12.9237487
POINT (-38.51367219999999 -13.0005961),Mercado Central,,Mercado,#31838F,-38.51367219999999,-13.0005961
POINT (-38.5196196 -12.9867891),Supermercado Novo Varejo em Salvador Mercado em Politeama Mercado Delivery,,Mercado,#31838F,-38.5196196,-12.9867891
POINT (-38.5028131 -13.0077813),Mercado do Bonfim,,Mercado,#31838F,-38.5028131,-13.0077813
POINT (-38.4767581 -13.0040024),Mercado Preço Baixo,,Mercado,#31838F,-38.4767581,-13.0040024
POINT (-38.420282 -12.9721098),Mercado da Família,,Mercado,#31838F,-38.420282,-12.9721098
POINT (-38.4991126 -13.009974),Mercado Padaria Vila Matos,,Mercado,#31838F,-38.4991126,-13.009974
POINT (-38.4964058 -12.9352995),Mercado Novo,,Mercado,#31838F,-38.4964058,-12.9352995
POINT (-38.511648 -12.929278),Mercado Boa Viagem,,Mercado,#31838F,-38.511648,-12.929278
POINT (-38.3393455 -12.9381513),Mercado da Praça,,Mercado,#31838F,-38.3393455,-12.9381513
POINT (-38.4575014 -12.9682702),Mercado Bom Dia,,Mercado,#31838F,-38.4575014,-12.9682702
POINT (-38.4288558 -12.9779348),Atakarejo - Boca do Rio,,Mercado,#31838F,-38.4288558,-12.9779348
POINT (-38.3787417 -12.9527976),Atakarejo - Piatã,,Mercado,#31838F,-38.3787417,-12.9527976
POINT (-38.4705608 -12.9823185),Atakadão Atakarejo,,Mercado,#31838F,-38.4705608,-12.9823185
POINT (-38.4137503 -12.9400713),Atakarejo - Paralela,,Mercado,#31838F,-38.4137503,-12.9400713
POINT (-38.4606712 -12.949073),Atakarejo - Cabula,,Mercado,#31838F,-38.4606712,-12.949073
POINT (-38.5012657 -12.9476874),Atakadão Atakarejo,,Mercado,#31838F,-38.5012657,-12.9476874
POINT (-38.45784829999999 -12.9746545),Atakarejo - Pernambués,,Mercado,#31838F,-38.45784829999999,-12.9746545
POINT (-38.3088011 -12.877192),Atakarejo - Lauro de Freitas,,Mercado,#31838F,-38.3088011,-12.877192
POINT (-38.4443717 -12.9081089),Atakadão Atakarejo,,Mercado,#31838F,-38.4443717,-12.9081089
POINT (-38.4814871 -12.9477377),Atakadão Atakarejo,,Mercado,#31838F,-38.4814871,-12.9477377
POINT (-38.4133489 -12.9294688),Atacadão - Canabrava,,Mercado,#31838F,-38.4133489,-12.9294688
POINT (-38.5105647 -12.9960486),Atacadão Garibaldi,,Mercado,#31838F,-38.5105647,-12.9960486
POINT (-38.4744902 -12.9905455),Atacadão - Salvador ACM,,Mercado,#31838F,-38.4744902,-12.9905455
